playerId,name,prior_team,position,pos_group,target_age,seasons,sample_toi_min,sample_toi_per_gp,usage_tier,rookie,rate_goals,rate_primaryAssists,rate_secondaryAssists,rate_shots,rate_ixg,rate_blocks,rate_hits,rate_pim,rate_faceoffs_won,rate_points,rate_pp_points,claim_pp_toi_per_gp,rate_sh_points,claim_sh_toi_per_gp,claim_gp,gp_reliability,avail_share,claim_toi_per_gp,on_roster,team,camp,camp_team,status,rate_goals_own,edited,lock_gp,lock_toi,lock_pp_toi,lock_sh_toi,lock_goals,fixed_goals,lock_primaryAssists,fixed_primaryAssists,lock_secondaryAssists,fixed_secondaryAssists,lock_shots,fixed_shots,lock_ixg,fixed_ixg,lock_blocks,fixed_blocks,lock_hits,fixed_hits,lock_pim,fixed_pim,lock_faceoffs_won,fixed_faceoffs_won,lock_pp_points,fixed_pp_points,lock_sh_points,fixed_sh_points,claim_toi,claim_pp_toi,claim_sh_toi,claim_goals,claim_primaryAssists,claim_secondaryAssists,claim_shots,claim_ixg,claim_blocks,claim_hits,claim_pim,claim_faceoffs_won,claim_points,claim_pp_points,claim_sh_points,unc_goals,unc_primaryAssists,unc_secondaryAssists,unc_shots,unc_ixg,unc_blocks,unc_hits,unc_pim,unc_faceoffs_won,unc_pp_points,unc_sh_points,unc_gp,unc_toi,unc_assists,unc_points,proj_gp,proj_toi,proj_toi_per_gp,proj_pp_toi,proj_pp_toi_per_gp,proj_sh_toi,proj_sh_toi_per_gp,proj_goals,proj_primaryAssists,proj_secondaryAssists,proj_shots,proj_ixg,proj_blocks,proj_hits,proj_pim,proj_faceoffs_won,proj_pp_points,proj_sh_points,proj_assists,proj_points,claim_assists,points_rate_check,points_p10,points_p90,goals_p10,goals_p90,assists_p10,assists_p90,shots_p10,shots_p90,pp_points_p10,pp_points_p90,sh_points_p10,sh_points_p90,blocks_p10,blocks_p90,hits_p10,hits_p90,pim_p10,pim_p90,faceoffs_won_p10,faceoffs_won_p90,ixg_p10,ixg_p90,gp_p10,gp_p90
8484801,Macklin Celebrini,SJS,C,F,20.6,2,3133.1,20.92,3,False,1.524,1.656,1.021,10.672,1.235,2.138,2.031,1.682,26.387,4.313,6.649,3.3,0.934,0.2,76.4,0.5,0.9095238095238096,23.4,True,SJS,False,,roster,1.693,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,1784.6,254.2,12.7,45.3,49.2,30.4,317.4,36.7,63.6,60.4,50.0,784.8,128.3,28.2,0.2,45.3,49.2,30.4,317.4,36.7,63.6,60.4,50.0,784.8,28.2,0.2,76.4,1784.6,79.6,124.9,76.4,1784.6,23.4,254.2,3.3,12.7,0.2,44.1,47.1,29.8,310.5,36.3,59.3,52.0,45.0,743.2,27.9,0.2,76.8,120.9,79.6,128.3,90.0,155.3,30.9,59.1,56.0,100.2,233.6,395.6,14.7,44.1,0.0,0.3,30.1,95.6,25.1,85.6,20.5,75.9,620.6,874.2,24.4,49.8,52.0,84.0
8478402,Connor McDavid,EDM,C,F,30.1,5,8585.8,22.56,3,False,1.337,1.938,1.082,9.126,1.256,1.101,1.883,1.425,14.743,4.24,9.647,3.4,1.022,0.7,75.8,0.4348327027638322,0.9029304029304028,22.1,True,EDM,False,,roster,1.393,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,1678.6,256.6,56.3,37.4,54.2,30.3,255.3,35.1,30.8,52.7,39.9,412.4,118.6,41.3,0.9,37.4,54.2,30.3,255.3,35.1,30.8,52.7,39.9,412.4,41.3,1.0,75.8,1678.6,84.5,121.9,75.8,1678.6,22.1,256.6,3.4,53.0,0.7,38.3,50.9,27.9,267.1,36.9,27.6,46.1,36.9,414.7,33.5,0.9,78.9,117.2,84.5,118.6,85.8,152.2,25.8,52.7,57.2,103.2,193.7,349.4,18.4,52.0,0.0,2.0,9.7,51.4,20.5,78.6,15.0,65.5,321.3,517.1,24.6,50.9,50.5,84.0
8477492,Nathan MacKinnon,COL,C,F,31.4,5,8405.0,22.44,3,False,1.416,1.644,0.905,11.278,1.183,1.626,2.005,1.056,22.873,4.082,5.746,4.0,0.78,0.0,77.1,0.9108493565950885,0.9175824175824178,22.1,True,COL,False,,roster,1.553,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,1703.1,305.0,3.2,40.2,46.7,25.7,320.1,33.6,46.2,56.9,30.0,649.3,115.9,26.3,0.0,40.2,46.7,25.7,320.1,33.6,46.2,56.9,30.0,649.3,29.2,0.0,77.1,1703.1,72.3,112.5,77.1,1703.1,22.1,274.4,3.6,3.1,0.0,42.0,45.9,24.7,332.1,35.8,45.6,59.5,28.7,630.3,30.4,0.1,70.7,112.7,72.3,115.9,88.8,138.7,31.0,54.3,54.1,88.9,272.0,396.8,18.9,43.9,0.0,0.1,25.8,69.3,36.4,86.9,13.9,47.1,546.2,718.9,25.7,47.1,59.0,84.0
8476453,Nikita Kucherov,TBL,R,F,33.6,5,7543.5,20.71,3,False,1.306,1.837,1.156,8.932,1.135,1.277,1.461,1.488,0.516,4.438,6.876,3.9,2.431,0.0,75.1,0.7947157932895056,0.8945054945054945,19.6,True,TBL,False,,roster,1.409,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,1470.2,289.4,0.9,32.0,45.0,28.3,218.9,27.8,31.3,35.8,36.5,12.6,108.7,33.2,0.0,32.0,45.0,28.3,218.9,27.8,31.3,35.8,36.5,12.6,33.2,0.0,75.1,1470.2,73.3,105.3,75.1,1470.2,19.6,289.4,3.9,0.0,0.0,32.9,43.0,26.9,230.0,28.9,28.8,35.3,34.0,13.8,34.5,0.0,69.9,102.8,73.3,108.7,78.5,129.7,22.9,44.4,52.5,89.2,176.0,289.4,21.3,50.0,0.0,0.0,13.0,48.9,17.3,57.9,16.4,56.1,4.2,26.8,19.5,39.6,55.3,84.0
8477956,David Pastrnak,BOS,R,F,30.7,5,7823.8,20.35,3,False,1.26,1.797,0.601,10.488,1.115,1.23,2.996,1.836,0.546,3.724,5.667,3.4,0.829,0.0,77.2,0.8065361095334784,0.9195360195360197,19.7,True,BOS,False,,roster,1.35,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,1523.4,264.8,2.7,32.0,45.6,15.3,266.3,28.3,31.2,76.1,46.6,13.9,94.5,25.0,0.0,32.0,45.6,15.3,266.3,28.3,31.2,76.1,46.6,13.9,25.0,0.0,77.2,1523.4,60.9,92.9,77.2,1523.4,19.7,264.8,3.4,2.1,0.0,33.3,44.4,14.3,282.3,30.6,29.8,72.6,42.0,12.4,25.1,0.1,58.7,92.0,60.9,94.5,69.3,117.2,23.2,44.8,43.0,76.2,222.6,347.5,14.3,38.0,0.0,0.0,13.7,50.1,44.6,105.5,21.9,66.5,3.4,24.9,21.0,41.5,57.6,84.0
8477934,Leon Draisaitl,EDM,C,F,31.3,5,8133.1,21.48,3,False,1.428,1.484,0.889,7.984,1.053,0.99,1.566,1.364,26.511,3.984,9.222,3.4,0.687,0.4,70.1,0.3828667631121587,0.8345543345543346,20.8,True,EDM,False,,roster,1.641,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,1459.2,236.7,25.1,34.7,36.1,21.6,194.2,25.6,24.1,38.1,33.2,644.7,96.9,36.4,0.3,34.7,36.1,21.6,194.2,25.6,24.1,38.1,33.2,644.7,36.4,0.3,70.1,1459.2,57.7,92.4,70.1,1459.2,20.8,236.7,3.4,23.1,0.3,35.6,33.5,19.7,203.2,26.9,21.3,32.7,30.6,648.3,29.2,0.3,53.2,88.9,57.7,96.9,61.3,120.1,23.4,49.7,35.5,73.6,138.4,277.2,15.0,46.7,0.0,0.4,6.3,41.8,12.1,59.8,11.0,56.5,526.2,780.0,16.5,39.0,44.0,84.0
8480039,Martin Necas,COL,C,F,28.0,5,7286.6,20.25,3,False,1.14,1.313,0.946,7.752,0.949,1.081,2.967,1.157,1.836,3.402,5.232,3.5,0.822,0.1,76.7,0.8769601563004468,0.9131868131868133,20.4,True,COL,False,,roster,1.253,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,1564.0,267.4,5.6,29.7,34.2,24.6,202.1,24.7,28.2,77.3,30.2,47.9,88.7,20.9,0.1,29.7,34.2,24.6,202.1,24.7,28.2,77.3,30.2,47.9,23.3,0.1,76.7,1564.0,58.9,88.6,76.7,1564.0,20.4,239.2,3.1,5.5,0.1,31.1,33.6,23.7,209.6,26.4,27.8,80.9,28.9,43.9,24.2,0.1,57.3,88.4,58.9,88.7,67.1,112.1,21.7,41.8,42.3,74.1,161.4,262.7,14.0,36.4,0.0,0.1,13.0,46.3,52.5,113.8,13.8,47.9,24.2,67.8,17.8,36.2,58.2,84.0
8480018,Nick Suzuki,MTL,C,F,27.5,5,8507.6,20.69,3,False,0.986,1.396,0.914,6.367,0.899,2.275,2.269,0.681,25.418,3.3,7.21,3.3,1.193,0.8,79.6,1.0,0.9476190476190477,20.9,True,MTL,False,,roster,1.042,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,1663.3,264.1,60.1,27.3,38.7,25.4,176.5,24.9,63.1,62.9,18.9,704.6,91.5,31.4,1.2,27.3,38.7,25.4,176.5,24.9,63.1,62.9,18.9,704.6,31.7,1.2,79.6,1663.3,64.1,91.4,79.6,1663.3,20.9,261.4,3.3,60.1,0.8,27.9,35.7,23.6,182.9,26.2,58.8,63.5,17.2,688.1,30.5,1.2,59.3,87.2,64.1,91.5,67.6,108.8,19.5,37.5,44.9,75.1,142.3,227.3,19.5,43.2,0.2,2.7,37.3,83.9,41.0,89.6,7.3,30.1,606.7,773.4,18.1,35.4,62.9,84.0
8484144,Connor Bedard,CHI,C,F,21.5,3,4429.2,20.58,3,False,1.201,1.515,0.598,9.229,1.07,1.375,1.72,2.203,12.958,3.205,5.693,3.0,1.072,0.0,71.6,0.44029677757898256,0.8523809523809524,22.7,True,CHI,False,,roster,1.283,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,1628.0,217.8,1.9,32.6,41.1,16.2,250.4,29.0,37.3,46.7,59.8,351.6,87.0,20.7,0.0,32.6,41.1,16.2,250.4,29.0,37.3,46.7,59.8,351.6,20.7,0.0,71.6,1628.0,57.3,89.9,71.6,1628.0,22.7,217.8,3.0,1.9,0.0,32.0,38.5,15.1,248.3,28.4,34.5,46.4,55.2,397.6,19.9,0.0,53.6,85.6,57.3,87.0,59.3,115.5,20.8,45.1,36.1,73.6,178.0,327.4,9.1,33.7,0.0,0.0,13.6,61.9,20.8,79.0,26.5,91.2,306.6,497.5,17.9,40.7,46.3,84.0
8480027,Jason Robertson,DAL,L,F,27.5,5,7507.5,19.36,3,False,1.422,1.005,1.041,9.884,1.206,1.476,2.161,1.097,0.576,3.506,6.785,3.4,0.983,0.0,79.4,1.0,0.9446886446886448,19.5,True,DAL,False,,roster,1.551,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,1546.8,267.7,1.7,36.7,25.9,26.8,254.8,31.1,38.0,55.7,28.3,14.9,90.4,30.3,0.0,36.7,25.9,26.8,254.8,31.1,38.0,55.7,28.3,14.9,30.3,0.0,79.4,1546.8,52.7,89.4,79.4,1546.8,19.5,267.7,3.4,0.8,0.0,37.0,23.9,24.6,262.5,31.9,34.7,53.9,25.3,13.1,25.3,0.0,48.5,85.6,52.7,90.4,66.1,106.9,27.2,48.1,35.7,62.9,213.3,315.6,15.5,36.8,0.0,0.0,19.0,53.7,33.4,77.9,12.4,41.3,4.5,24.5,22.8,42.1,62.7,84.0
